us_state,year_of_record,species_name,adult_count,youth_count,unknown_count,euthanasia_sum
AK,2013,Cats,0,0,0,0
AK,2013,Dogs,0,0,0,0
AK,2014,Cats,0,0,0,0
AK,2014,Dogs,0,0,0,0
AK,2015,Cats,0,0,0,0
AK,2015,Dogs,0,0,0,0
AK,2016,Cats,29,5,0,34
AK,2016,Dogs,16,0,0,16
AK,2017,Cats,41,5,1,47
AK,2017,Dogs,18,1,0,19
AK,2018,Cats,35,1,0,36
AK,2018,Dogs,34,0,0,34
AK,2019,Cats,29,1,0,30
AK,2019,Dogs,11,0,0,11
AK,2020,Cats,10,3,0,13
AK,2020,Dogs,4,1,0,5
AK,2021,Cats,125,11,0,136
AK,2021,Dogs,29,6,0,35
AK,2022,Cats,0,1,0,1
AK,2022,Dogs,0,0,0,0
AL,2013,Cats,4,0,0,4
AL,2013,Dogs,0,0,0,0
AL,2014,Cats,465,1012,0,1477
AL,2014,Dogs,608,587,0,1195
AL,2015,Cats,503,814,4930,6247
AL,2015,Dogs,661,506,6305,7472
AL,2016,Cats,849,1599,4859,7307
AL,2016,Dogs,948,732,5112,6792
AL,2017,Cats,1316,1939,3866,7121
AL,2017,Dogs,1735,1005,3656,6396
AL,2018,Birds,0,2,0,2
AL,2018,Cats,2273,3671,350,6294
AL,2018,Dogs,4883,1588,341,6812
AL,2018,Equine,0,0,0,0
AL,2018,Farm Animals,0,0,0,0
AL,2018,Rabbits,0,0,0,0
AL,2018,Reptiles & Amphibians,0,0,0,0
AL,2018,Small Mammals,0,10,0,10
AL,2019,Birds,1,6,0,7
AL,2019,Cats,1213,2106,109,3428
AL,2019,Dogs,3650,928,211,4789
AL,2019,Equine,0,0,0,0
AL,2019,Farm Animals,0,0,0,0
AL,2019,Rabbits,0,1,0,1
AL,2019,Reptiles & Amphibians,0,1,0,1
AL,2019,Small Mammals,3,21,0,24
AL,2020,Birds,0,3,0,3
AL,2020,Cats,2155,1161,168,3484
AL,2020,Dogs,4128,696,149,4973
AL,2020,Equine,0,0,0,0
AL,2020,Farm Animals,0,0,0,0
AL,2020,Rabbits,0,1,0,1
AL,2020,Reptiles & Amphibians,0,1,0,1
AL,2020,Small Mammals,5,11,0,16
AL,2021,Birds,0,6,0,6
AL,2021,Cats,1347,1275,530,3152
AL,2021,Dogs,4547,554,603,5704
AL,2021,Equine,1,0,0,1
AL,2021,Farm Animals,0,0,0,0
AL,2021,Rabbits,0,0,0,0
AL,2021,Reptiles & Amphibians,0,0,0,0
AL,2021,Small Mammals,2,9,0,11
AL,2022,Birds,0,0,0,0
AL,2022,Cats,88,14,60,162
AL,2022,Dogs,809,164,196,1169
AL,2022,Equine,0,0,0,0
AL,2022,Farm Animals,0,0,0,0
AL,2022,Rabbits,1,0,0,1
AL,2022,Reptiles & Amphibians,0,0,0,0
AL,2022,Small Mammals,1,0,0,1
AR,2013,Cats,0,0,11,11
AR,2013,Dogs,0,3,2,5
AR,2014,Cats,15,1,8,24
AR,2014,Dogs,13,0,7,20
AR,2015,Birds,0,0,0,0
AR,2015,Cats,83,54,3,140
AR,2015,Dogs,59,21,4,84
AR,2015,Equine,0,0,0,0
AR,2015,Farm Animals,0,0,0,0
AR,2015,Rabbits,0,0,0,0
AR,2015,Reptiles & Amphibians,0,0,0,0
AR,2015,Small Mammals,0,0,0,0
AR,2016,Cats,867,297,8,1172
AR,2016,Dogs,1367,406,25,1798
AR,2017,Cats,371,166,2,539
AR,2017,Dogs,411,34,7,452
AR,2018,Cats,398,140,69,607
AR,2018,Dogs,663,133,151,947
AR,2019,Cats,411,300,85,796
AR,2019,Dogs,940,128,218,1286
AR,2020,Birds,0,0,0,0
AR,2020,Cats,255,162,28,445
AR,2020,Dogs,557,72,54,683
AR,2020,Equine,0,0,0,0
AR,2020,Farm Animals,0,0,0,0
AR,2020,Rabbits,0,0,0,0
AR,2020,Reptiles & Amphibians,0,0,0,0
AR,2020,Small Mammals,0,0,0,0
AR,2021,Birds,0,0,0,0
AR,2021,Cats,186,99,0,285
AR,2021,Dogs,297,50,0,347
AR,2021,Equine,0,0,0,0
AR,2021,Farm Animals,1,0,0,1
AR,2021,Rabbits,1,0,0,1
AR,2021,Reptiles & Amphibians,0,0,0,0
AR,2021,Small Mammals,10,0,0,10
AR,2022,Birds,0,0,0,0
AR,2022,Cats,14,3,0,17
AR,2022,Dogs,41,4,0,45
AR,2022,Equine,0,0,0,0
AR,2022,Farm Animals,0,0,0,0
AR,2022,Rabbits,0,0,0,0
AR,2022,Reptiles & Amphibians,0,0,0,0
AR,2022,Small Mammals,0,0,1,1
AZ,2001,Cats,0,0,0,0
AZ,2001,Dogs,0,0,0,0
AZ,2011,Cats,1,2,0,3
AZ,2011,Dogs,4,0,0,4
AZ,2012,Cats,0,0,0,0
AZ,2012,Dogs,9,1,0,10
AZ,2013,Cats,47,10,5,62
AZ,2013,Dogs,54,4,5,63
AZ,2014,Cats,35,12,12,59
AZ,2014,Dogs,72,6,8,86
AZ,2015,Cats,1462,508,106,2076
