"us_state","year_of_record","adult_count","youth_count","unknown_count"
"AK",2013,0,0,0
"AK",2014,0,0,0
"AK",2015,0,0,0
"AK",2016,45,5,0
"AK",2017,59,6,1
"AK",2018,69,1,0
"AK",2019,40,1,0
"AK",2020,14,4,0
"AK",2021,154,17,0
"AK",2022,0,1,0
"AL",2013,4,0,0
"AL",2014,1073,1599,0
"AL",2015,1164,1320,11235
"AL",2016,1797,2331,9971
"AL",2017,3051,2944,7522
"AL",2018,7156,5271,691
"AL",2019,4867,3063,320
"AL",2020,6288,1873,317
"AL",2021,5897,1844,1133
"AL",2022,899,178,256
"AR",2013,0,3,13
"AR",2014,28,1,15
"AR",2015,142,75,7
"AR",2016,2234,703,33
"AR",2017,782,200,9
"AR",2018,1061,273,220
"AR",2019,1351,428,303
"AR",2020,812,234,82
"AR",2021,495,149,0
"AR",2022,55,7,1
"AZ",2001,0,0,0
"AZ",2011,5,2,0
"AZ",2012,9,1,0
"AZ",2013,101,14,10
"AZ",2014,107,18,20
"AZ",2015,7988,757,184
"AZ",2016,8081,1581,2628
"AZ",2017,5289,1800,2965
"AZ",2018,4530,1672,1720
"AZ",2019,4835,2582,1351
"AZ",2020,3588,1600,942
"AZ",2021,3650,1738,758
"AZ",2022,1017,215,51
"CA",1993,0,0,0
"CA",1994,0,0,0
"CA",1995,0,0,0
"CA",1996,0,0,0
"CA",1997,0,0,0
"CA",1998,0,0,0
"CA",1999,0,0,0
"CA",2000,0,0,0
"CA",2001,0,0,0
"CA",2002,0,0,0
"CA",2003,0,0,0
"CA",2004,0,0,0
"CA",2005,0,0,0
"CA",2006,0,0,0
"CA",2007,0,0,0
"CA",2008,0,0,0
"CA",2009,0,0,0
"CA",2010,0,0,0
"CA",2011,15923,8097,3928
"CA",2012,14342,6803,5265
"CA",2013,11734,5233,6518
"CA",2014,10194,4479,6622
"CA",2015,10429,5897,7275
"CA",2016,36110,25180,19800
"CA",2017,40052,27012,12659
"CA",2018,32105,16348,11736
"CA",2019,29752,24967,29822
"CA",2020,14554,7232,10076
"CA",2021,15576,10063,5387
"CA",2022,2751,453,652
"CO",2000,0,0,0
"CO",2008,0,0,0
"CO",2009,0,0,0
"CO",2010,0,0,0
"CO",2011,2,0,0
"CO",2012,17,4,4
"CO",2013,104,59,1
"CO",2014,130,91,17
"CO",2015,219,88,30
"CO",2016,2500,425,225
"CO",2017,2864,307,259
"CO",2018,2913,348,207
"CO",2019,2821,507,214
"CO",2020,2061,265,101
"CO",2021,1902,451,324
"CO",2022,278,23,19
"CT",2013,3,2,0
"CT",2014,15,1,0
"CT",2015,17,1,0
"CT",2016,198,49,40
"CT",2017,145,27,21
"CT",2018,134,24,20
"CT",2019,120,17,64
"CT",2020,93,40,15
"CT",2021,93,28,21
"CT",2022,23,0,8
"DC",2015,564,185,122
"DC",2016,703,83,73
"DC",2017,555,54,76
"DC",2018,467,55,119
"DC",2019,430,61,101
"DC",2020,280,56,87
"DC",2021,255,54,112
"DC",2022,56,4,28
"DE",2013,37,0,0
"DE",2014,38,0,0
"DE",2015,46,0,0
"DE",2016,92,33,383
"DE",2017,120,39,306
"DE",2018,105,33,466
"DE",2019,76,27,437
